,del,,dup
,DDX11L17,,AGRN
,LOC100996583,,CCDC27
,AJAP1,,ACOT7
,CAMTA1,,AADACL3
,HNRNPCL3,,ARHGEF10L
,C1orf195,,AHDC1
,ALDH4A1,,ADGRB2
,LINC01648,,AGO1
,GJA4,,FHL3
,C1orf109,,BMP8B
,AKIRIN1,,AKR1A1
,C1orf50,,ACOT11
,AGBL4,,DAB1
,C8B,,ATG4C
,CYP2J2,,ROR1
,L1TD1,,AK4
,DLEU2L,,PDE4B
,CACHD1,,C1orf141
,DNAJC6,,PTGER3
,DNAI4,,LHX8
,CTH,,ST6GALNAC3
,CRYZ,,GIPC2
,ACADM,,BCL10
,AK5,,GBP5
,ADGRL2,,HFM1
,DNASE2B,,ABCD3
,GBP2,,CDC14A
,HFM1,,LOC101928436
,CDC7,,ADORA3
,AGL,,LRIG2
,COL11A1,,AMPD1
,AMY1A,,CD101
,AKNAD1,,NBPF8
,CAPZA1,,CD160
,AP4B1,,RNVU1-8
,ATP1A1,,NBPF9
,GDAP2,,ACKR1
,HAO2,,ADCY10
,EMBP1,,BLZF1
,ANKRD35,,FMO1
,LOC728989,,C1orf105
,ACP6,,ANKRD45
,FCGR1A,,CACYBP
,ALDH9A1,,ASTN1
,DPT,,ABL2
,GORAB,,KIAA1614-AS1
,DNM3,,CACNA1E
,FASLG,,ARPC5
,RABGAP1L,,EDEM3
,COP1,,ODR4
,ASTN1,,ASPM
,LHX4,,PTPRC
,CACNA1E,,ADIPOR1
,CACNA1E,,IRF6
,COLGALT2,,ANGEL2
,HMCN1,,PTPN14
,BRINP3,,USH2A
,ATP6V1G3,,BPNT1
,LINC01221,,BROX
,G0S2,,SEPTIN7P13
,HHAT,,CNIH3
,PROX1,,ACBD3-AS1
,KCNK2,,DUSP5P1
,BPNT1,,TAF5L
,C1orf115,,ARV1
,CAPN2,,SIPA1L2
,DEGS1,,IRF2BP2
,CNIH3,,ACTN2
,ARF1,,RYR2
,ACTA1,,EXO1
,AGT,,AHCTF1
,DISC1,,ADI1
,COA6,,MBOAT2
,ARID4B,,ADAM17
,RYR2,,LINC01804
,CHML,,GEN1
,ADSS2,,GDF7
,CMPK2,,ADCY3
,ASAP2,,BIRC6
,LOC100506474,,CEBPZOS
,GACAT3,,ARHGEF33
,LINC00954,,ABCG8
,ATAD2B,,CALM2
,CAPN13,,GTF2A1L
,DPY30,,ACYP2
,CRIM1-DT,,CCDC88A
,ATL2,,AHSA2P
,C2orf91,,ACTR2
,ATP6V1E2,,AAK1
,FOXN2,,ACTG2
,ASB3,,ANAPC1P2
,ACYP2,,GGT8P
,BCL11A,,FAHD2CP
,B3GNT2,,ANKRD23
,C1D,,AFF3
,CCT7,,LINC01796
,CAPG,,CCDC138
,ANKRD36BP2,,MIR4435-2HG
,LOC107985911,,ACTR3
,BMS1P14,,LOC101927709
,ARID5A,,EPB41L5
,VWA3B,,AMMECR1L
,CNOT11,,ARHGEF4
,IL18R1,,ANKRD30BL
,C2orf49,,CXCR4
,ACOXL,,STAM2
,FBLN7,,CCDC148
,DDX18,,ITGB6
,C2orf76,,GCA
,BIN1,,KCNH7
,AMER3,,SCN1A
,C2orf27A,,XIRP2
,ACMSD,,CYBRD1
,GTDC1,,CDCA7
,ACVR2A,,ATF2
,ACVR1,,CCDC141
